Manufacturer	"Brand (if applicable)"	Model Name	AHRI Certificate No.	Outdoor Unit Model	Indoor Unit Model(s)	AHRI Type	HSPF (Region IV):	SEER	EER (@ 95°F)	Cooling Capacity (Btuh)	ENERGY STAR Certified	Ductless or Centrally Ducted	"If Ductless, Multi-zone or Single-zone?"	Ductless Indoor Type		Minimum Capacity 47°F	Rated Capacity 47°F	Maximum Capacity 47°F	Input Power at Min. Capcaity 47°F	Rated Input Power 47°F	Input Power at Max. Capacity 47°F	COP at Min. Capacity 47°F	COP at Rated Capacity 47°F	COP at Max. Capacity 47°F		Minimum Capacity 17°F	Rated Capacity 17°F	Maximum Capacity 17°F	Input Power at Min. Capacity 17°F	Input Power at Rated Capacity 17°F	Input Power at Max. Capacity 17°F	COP at Min. Capacity 17°F	COP at Rated Capacity 17°F	COP at Max. Capacity 17°F		Minimum Capacity 5°F		Maximum Capacity 5°F	Input Power at Min. Capacity 5°F		Input Power at Max. Capacity  5°F	COP at Min. Capacity 5°F		COP at Max. Capacity 5°F		Maintenance Capacity (Max 5°F/Max 47°F)	Maintenance Capacity (Max 5°F/Max 17°F)		Integrated or Accessory (provide model #)	Input Power (W)	What determines when heater operates?		Outdoor Dry Bulb (°F)	Minimum Capactity X°F		Maximum Capacity X°F	Input Power at Min. Capacity X°F		Input Power at Max. Capacity X°F	COP at Min. Capacity X°F		COP at Max. Capacity X°F						
SAMSUNG ELECTRONICS	SAMSUNG		8203107	AC030JXSCCH/AA	AC030JN4DCH/AA	HRCU-A-CB-O	10.1	21	13.1	"30,000"	Yes	Ductless	Single-zone	Mini-Splits		13000	32000	37000	0.9	2.468	3.16	4.23	3.80	3.43		12500	20800	36000	1.01	2.21	5.28	3.63	2.76	2.00		12000		32000	1.32		5.02	2.66		1.87		86%	89%		Integrated	150W @230V	"[Operation condition - (1)&(2)&(3)&(4)]  (1) Heating mode (2) Compressor must be turned on  (3) Outside temperature is below 30F for more than 5 minutes.  (4) Outdoor fan motor is turned ON."		-13	12000		28000	1.58		5.62	2.23		1.46						 SAMSUNG ELECTRONCS CO"SAMSUNG ELECTRONICS CO., LTD."	SAMSUNG	Max Heat RAC Series	9035283	AR09KSWSPWKX	AR09KSWSPWKN	HRCU-A-CB-O	10.5	23.5	14.05	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		2730	12000	12360	0.17	0.77	0.81	4.71	4.57	4.47		3105	6500	13990	0.27	0.82	1.63	3.37	2.32	2.52		2730		12500	0.31		1.96	2.58		1.87		101%	89%		Integrated	230VAC 150W	Temp. below 0 degrees		-13	2184		10000	0.26		1.67	2.46		1.75						
SAMSUNG ELECTRONICS	SAMSUNG	Smart Whisper Series	8677410	AR24KSWSJWKX	AR24KSWSJWKN	HRCU-A-CB-O	10.7	21.6	12.5	"21,000"	Yes	Ductless	Single-zone	Mini-Splits		7506	27000	27810	0.48	2.52	2.646	4.58	3.14	3.08		6427	17000	28182	0.49	1.81	3.84	3.84	2.76	2.15		5996		23760	0.49		3.89	3.59		1.79		85%	84%		N/A	N/A	N/A		N/A															
SAMSUNG ELECTRONICS	SAMSUNG	Smart Pearl Series	8677406	AR12KSWDHWKX	AR12KSWDHWKN	HRCU-A-CB-O	11.5	26.1	14.1	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		2730	13600	14008	0.17	0.93	0.9765	4.71	4.29	4.20		2726	7800	14983	0.32	0.89	1.92	2.50	2.58	2.29		2724		11968	0.37		1.92	2.16		1.83		85%	80%		N/A	N/A	N/A		N/A															
SAMSUNG ELECTRONICS	SAMSUNG	Smart Pearl Series	8677405	AR09KSWDHWKX	AR09KSWDHWKN	HRCU-A-CB-O	12	28.1	15.8	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		2730	12600	12978	0.17	0.85	0.9	4.71	4.34	4.23		2708	5600	13867	0.32	0.63	1.79	2.48	2.61	2.27		2700		11088	0.38		1.81	2.08		1.80		85%	80%		N/A	N/A	N/A		N/A															
Toshiba Carrier	Carrier		6960758	RAS-09EAV-UL	RAS-09EKV-UL	N/A	10	20	13	N/A	Yes	Ductless	Single-zone	N/A		"3,070"	"10,800"	"16,350"	0.17	0.80	1.40	5.29	3.95	3.42		"1,795"	"6,313"	"9,551"	0.13	0.61	1.04	4.14	3.03	2.69		"1,224"		"6,519"	0.11		0.90	3.29		2.13		40%	68%		N/A				-4	828	z	4409	0.10		0.79	2.52		1.64						
Toshiba Carrier	Carrier		6960762	RAS-15EAV-UL	RAS-15EKV-UL	N/A	10	20	13	N/A	Yes	Ductless	Single-zone	N/A		"2,750"	"18,000"	"21,500"	0.14	1.40	1.90	5.64	3.77	3.32		"1,608"	"10,400"	"12,553"	0.11	1.04	1.42	4.44	2.93	2.60		"1,096"		"8,752"	0.09		1.22	3.52		2.11		41%	70%		N/A				-4	742	z	5798	0.08		1.07	2.72		1.59						
Toshiba Carrier	Carrier		6960764	RAS-17EAV-UL	RAS-17EKV-UL	N/A	10	19	12.6	N/A	Yes	Ductless	Single-zone	N/A		"2,750"	"20,200"	"21,500"	0.15	1.63	1.91	5.37	3.63	3.30		"1,608"	"10,500"	"12,553"	0.11	1.21	1.42	4.20	2.53	2.59		"1,096"		"8,572"	0.10		1.22	3.35		2.06		40%	68%		N/A				-4	742	z	5798	0.08		1.07	2.59		1.58						
Trane	Trane		6749942	4TWV0024A1	*AM8C0B30V21	HRCU-A-CB	10	19.25	13.75	"24,200"	Yes	Centrally Ducted	N/A	N/A		"7,800"	"20,200"	"21,900"	0.50	1.64	1.56	4.58	3.61	4.12		"11,430"	"16,800"	"16,800"	1.18	1.97	1.91	2.84	2.50	2.58		"11,176"		"13,000"	1.58		1.84	2.08		2.08		59%	77%		N/A				N/A															
Trane	Trane		6992578	4TWV0036A1	*AM8C0B30V21	HRCU-A-CB	10	20	13	"35,400"	Yes	Centrally Ducted	N/A	N/A		"8,400"	"32,600"	"33,900"	0.50	2.81	2.55	4.92	3.40	3.90		"15,930"	"26,200"	"26,400"	1.85	3.34	3.30	2.52	2.30	2.34		"16,688"		"20,160"	2.64		3.16	1.86		1.86		59%	76%		N/A				N/A															
Trane	Trane		7599437	4TWV0036A1	*AM8C0C48V41	HRCU-A-CB	10	20.75	13.5	"36,000"	Yes	Centrally Ducted	N/A	N/A		"8,400"	"33,800"	"32,800"	0.50	2.83	2.38	4.92	3.50	4.04		"15,820"	"25,400"	"25,700"	1.78	3.10	3.12	2.60	2.40	2.42		"16,548"		"19,800"	2.54		3.00	1.90		1.94		60%	77%		N/A				N/A															
Trane	Trane		7125586	4TWV0036A1	*UHMB060ACV3 4TXCB004CC3	HRCU-A-CB	10	18.5	12.5	"34,800"	Yes	Centrally Ducted	N/A	N/A		"8,500"	"31,000"	"33,500"	0.55	2.93	2.73	4.52	3.10	3.60		"16,150"	"26,000"	"26,300"	1.98	3.46	3.51	2.38	2.20	2.20		"16,934"		"20,300"	2.82		3.36	1.76		1.78		61%	77%		N/A				N/A															
Trane	Trane		6796600	4TWV0036A1	*UD2C080ACV4 4TXCC007CC3	HRCU-A-CB	10	20	13	"34,600"	Yes	Centrally Ducted	N/A	N/A		"8,300"	"32,000"	"33,100"	0.49	2.93	2.57	4.96	3.20	3.78		"15,710"	"25,800"	"25,900"	1.88	3.44	3.35	2.44	2.20	2.26		"16,488"		"19,800"	2.70		3.22	1.78		1.80		60%	76%		N/A				N/A															
Trane	Trane		6796602	4TWV0036A1	*UD2C100ACV5 4TXCC007CC3	HRCU-A-CB	10	20	13	"34,800"	Yes	Centrally Ducted	N/A	N/A		"8,300"	"31,800"	"33,100"	0.49	2.91	2.59	4.96	3.20	3.74		"15,710"	"25,600"	"25,900"	1.88	3.41	3.35	2.44	2.20	2.26		"16,588"		"19,900"	2.70		3.20	1.80		1.82		60%	77%		N/A				N/A															
Trane	Trane		7125588	4TWV0036A1	*DHMB060BCV3 4TXFH036CZ3	HRCU-A-CB	10	19.5	12.5	"34,800"	Yes	Centrally Ducted	N/A	N/A		"8,300"	"30,800"	"33,200"	0.52	2.82	2.65	4.68	3.20	3.68		"16,150"	"25,800"	"26,100"	1.94	3.44	3.41	2.44	2.20	2.24		"17,034"		"20,340"	2.78		3.28	1.80		1.82		61%	78%		N/A				N/A															
Trane	Trane		6796604	4TWV0036A1	*UD2C080ACV4 4TXFH036CZ3	HRCU-A-CB	10	20	13	"35,400"	Yes	Centrally Ducted	N/A	N/A		"8,100"	"31,200"	"32,400"	0.50	2.86	2.51	4.74	3.20	3.78		"15,710"	"25,600"	"25,700"	1.86	3.41	3.28	2.48	2.20	2.30		"16,628"		"19,900"	2.66		3.16	1.84		1.84		61%	77%		N/A				N/A															
Trane	Trane		7125587	4TWV0036A1	*UHMB060ACV3 4TXFH036CZ3	HRCU-A-CB	10	18.75	12.5	"34,800"	Yes	Centrally Ducted	N/A	N/A		"8,300"	"30,400"	"32,700"	0.56	2.87	2.68	4.34	3.10	3.58		"15,930"	"25,600"	"25,900"	1.96	3.41	3.45	2.38	2.20	2.20		"16,788"		"20,040"	2.78		3.32	1.76		1.76		61%	77%		N/A				N/A															
Trane	Trane		6749944	4TWV0048A1	*AM8C0C48V41	HRCU-A-CB	10	19.25	12.5	"47,000"	Yes	Centrally Ducted	N/A	N/A		"11,800"	"42,500"	"42,600"	0.74	4.15	3.65	4.68	3.00	3.42		"21,530"	"34,000"	"34,400"	2.61	4.74	4.66	2.42	2.10	2.16		"22,446"		"26,720"	3.72		4.44	1.76		1.76		63%	78%		N/A				N/A															
Trane	Trane		7161152	4TWV0048A1	*AM8C0C60V51	HRCU-A-CB	10	19.25	12.5	"46,500"	Yes	Centrally Ducted	N/A	N/A		"11,800"	"43,000"	"43,100"	0.74	3.94	3.53	4.68	3.20	3.58		"21,640"	"34,200"	"34,700"	2.56	4.55	4.54	2.48	2.20	2.24		"22,486"		"26,780"	3.64		4.34	1.80		1.80		62%	77%		N/A				N/A															
Trane	Trane		6750459	4TWV8024A1	*AM8C0B30V21	HRCU-A-CB	10	18	13	"23,800"	Yes	Centrally Ducted	N/A	N/A		"7,800"	"20,000"	"21,900"	0.50	1.63	1.56	4.58	3.60	4.12		"11,430"	"16,800"	"16,800"	1.18	1.97	1.91	2.84	2.50	2.58		"11,176"		"13,000"	1.58		1.84	2.08		2.08		59%	77%		N/A				N/A															
Trane	Trane		6750234	4TWV8036A1	*AM8C0C36V31	HRCU-A-CB	10	18	13	"35,000"	Yes	Centrally Ducted	N/A	N/A		"8,200"	"32,200"	"32,200"	0.47	3.04	2.60	5.12	3.10	3.62		"15,710"	"25,200"	"25,400"	1.85	3.36	3.33	2.48	2.20	2.24		"16,488"		"19,680"	2.66		3.18	1.82		1.82		61%	77%		N/A				N/A															
Trane	Trane		7035765	4TWV8036A1	*DD2C100ACV5 4NXCC005AS3	HRCU-A-CB	10	18	12.5	"35,800"	Yes	Centrally Ducted	N/A	N/A		"8,400"	"31,600"	"32,600"	0.50	2.99	2.54	4.92	3.10	3.76		"16,040"	"26,200"	"26,300"	1.89	3.49	3.42	2.48	2.20	2.26		"16,828"		"20,200"	2.70		3.26	1.82		1.82		62%	77%		N/A				N/A															
Trane	Trane		6796635	4TWV8037A1	*AM8C0B30V21	HRCU-A-CB	10	18	13	"35,400"	Yes	Centrally Ducted	N/A	N/A		"8,400"	"32,600"	"33,900"	0.50	2.81	2.55	4.92	3.40	3.90		"15,930"	"26,200"	"26,400"	1.85	3.34	3.30	2.52	2.30	2.34		"16,688"		"20,160"	2.66		3.16	1.84		1.86		59%	76%		N/A				N/A															
Trane	Trane		6796636	4TWV8037A1	*UD2B080ACV3 4TXCB004CC3	HRCU-A-CB	10	18	12.5	"34,800"	Yes	Centrally Ducted	N/A	N/A		"8,300"	"32,000"	"33,300"	0.50	3.02	2.68	4.86	3.10	3.64		"16,040"	"25,800"	"26,100"	1.95	3.44	3.46	2.42	2.20	2.22		"16,934"		"20,240"	2.80		3.32	1.78		1.78		61%	78%		N/A				N/A															
Trane	Trane		6796638	4TWV8037A1	*UD2C080ACV4 4TXCC007CC3	HRCU-A-CB	10	18	13	"34,600"	Yes	Centrally Ducted	N/A	N/A		"8,300"	"32,000"	"33,100"	0.49	2.93	2.57	4.96	3.20	3.78		"15,710"	"25,800"	"25,900"	1.88	3.44	3.36	2.44	2.20	2.26		"16,488"		"19,800"	2.70		3.22	1.78		1.80		60%	76%		N/A				N/A															
Trane	Trane		6796639	4TWV8037A1	*UD2C100ACV5 4TXCC007CC3	HRCU-A-CB	10	18	13	"34,800"	Yes	Centrally Ducted	N/A	N/A		"8,300"	"31,800"	"33,100"	0.49	2.91	2.60	4.96	3.20	3.74		"15,710"	"25,600"	"25,900"	1.88	3.41	3.35	2.44	2.20	2.26		"16,588"		"19,900"	2.70		3.20	1.80		1.82		60%	77%		N/A				N/A															
Trane	Trane		7125597	4TWV8037A1	*DHMB060BCV3 4TXFH036CZ3	HRCU-A-CB	10	18	12.5	"34,800"	Yes	Centrally Ducted	N/A	N/A		"8,300"	"31,800"	"33,200"	0.52	2.91	2.66	4.68	3.20	3.66		"16,150"	"25,800"	"26,100"	1.95	3.44	3.41	2.42	2.20	2.24		"17,034"		"20,340"	2.78		3.28	1.80		1.82		61%	78%		N/A				N/A															
Trane	Trane		6796641	4TWV8037A1	*UD2C080ACV4 4TXFH036CZ3	HRCU-A-CB	10	18	13	"35,400"	Yes	Centrally Ducted	N/A	N/A		"8,100"	"31,200"	"32,400"	0.50	2.86	2.52	4.74	3.20	3.76		"15,710"	"25,600"	"25,700"	1.86	3.41	3.28	2.48	2.20	2.30		"16,628"		"19,900"	2.66		3.16	1.84		1.84		61%	77%		N/A				N/A															
Trane	Trane		6750235	4TWV8048A1	*AM8C0C48V41	HRCU-A-CB	10	18	12.5	"47,000"	Yes	Centrally Ducted	N/A	N/A		"11,800"	"41,000"	"43,000"	0.74	3.88	3.64	4.68	3.10	3.46		"21,860"	"34,400"	"34,800"	2.57	4.58	4.61	2.50	2.20	2.22		"22,792"		"27,080"	3.66		4.38	1.82		1.82		63%	78%		N/A				N/A		z													
Trane	Trane		6750461	4TWV8049A1	*AM8C0C48V41	HRCU-A-CB	10	18	12.5	"47,000"	Yes	Centrally Ducted	N/A	N/A		"11,800"	"41,500"	"42,600"	0.74	4.05	3.65	4.68	3.00	3.42		"21,530"	"34,000"	"34,400"	2.61	4.74	4.66	2.42	2.10	2.16		"22,446"		"26,720"	3.72		4.44	1.76		1.76		63%	78%		N/A				N/A		z													
Trane	Trane		7151531	4TXK2709A10N0AA	4MXW2709A10N0AA	HRCU-A-CB-O	10	27	14.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		"2,200"	"9,800"	"11,000"	0.10	0.65	1.25	6.45	4.42	2.58		"1,989"	"5,800"	"10,631"	0.12	0.63	1.26	4.86	2.71	2.47		"1,480"		"8,000"	0.15		1.10	2.89		2.14		73%	75%		Integrated  	72W	Heater on below 34°F		N/A		z													
Trane	Trane		7151533	4TXK2712A10NAA	4MXW2712A10N0AA	HRCU-A-CB-O	10	25	13	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		"2,400"	"13,000"	"14,000"	0.10	0.96	1.35	7.03	3.97	3.04		"2,200"	"8,000"	"8,700"	0.09	0.75	1.01	7.16	3.13	2.52		"2,100"		"8,300"	0.09		1.13	7.24		2.15		59%	95%		Integrated  	72W	Heater on below 34°F		N/A															
Trane	Trane		7151535	4TXK2718A10N0AA	4MXW2718A10N0AA	HRCU-A-CB-O	10	21	12.5	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		"3,412"	"19,000"	"23,202"	0.40	1.58	2.50	2.50	3.52	2.72		"2,729"	"12,100"	"19,674"	0.41	1.26	2.57	1.95	2.81	2.24		"2,388"		"15,400"	0.42		2.29	1.67		1.97		66%	78%		Integrated  	160W	Heater on below 34°F		N/A															
Trane	Trane		9150125	4TXK3818A10NUAA	4MXW3818A10NUAA	HRCU-A-CB-O	12	24.5	13.5	"18,000"	Yes	Ductless	Single-zone	Mini-Splits		3700	18000	24400	0.35	1.5	2.5	3.10	3.52	2.86		3070	14200	23100	0.36	1.46	3.25	2.50	2.86	2.08		2388		20634	0.37		3.30	1.89		1.83		85%	89%		Integrated  	160W	Heater on below 34°F		N/A															
Trane	Trane		9150127	4TXK3824A10NUAA	4MXW3824A10NUAA	HRCU-A-CB-O	12	21.5	13	"22,000"	Yes	Ductless	Single-zone	Mini-Splits		6800	24000	32400	0.38	2	3.7	5.24	3.52	2.57		3396	15500	26263	0.34	1.57	3.38	2.89	2.89	2.28		2887		24233	0.33		3.18	2.56		2.24		75%	92%		Integrated  	160W	Heater on below 34°F		N/A															
Trane	Trane		9150123	4TXK3812A10NUAA	4MXW3812A10NUAA	HRCU-A-CB-O	14	30.5	15.3	"12,000"	Yes	Ductless	Single-zone	Mini-Splits		3000	12200	18700	0.25	0.94	1.6	3.52	3.80	3.43		2800	8100	9000	0.23	0.74	1.00	3.57	3.21	2.64		2600		13304	0.22		1.79	3.46		2.18		71%	148%		Integrated  	72W	Heater on below 34°F		N/A															
Trane	Trane		9150121	4TXK3809A10NUAA	4MXW3809A10NUAA	HRCU-A-CB-O	15	38	16.5	"9,000"	Yes	Ductless	Single-zone	Mini-Splits		2300	9000	13600	0.2	0.59	1.5	3.370317305	4.47	2.66		3545	5600	14611	0.37	0.75	1.78	2.85	2.20	2.40		1745		12210	0.28		1.72	1.83		2.08		90%	84%		Integrated  	72W	Heater on below 34°F		N/A															
Trane	Trane	TruComfort XV20i	10093494	4TWV0024A1	TAM9A0B30V31	HRCU-A-CB	10.00	19.25	13.75	24200	Yes	Centrally Ducted	N/A	N/A		8000	20200	21300	0.54	2.60	1.51	4.34	2.276364128	4.14		11430	17100	17100	1.21	2.60	1.93	2.76	1.927021118	2.60		11036		12920	1.62		1.86	2.00		2.05		61%	76%																					
Trane	Trane	TruComfort XV20i	10093495	4TWV0036A1	TAM9A0B30V31	HRCU-A-CB	10.00	20.00	13.00	35400	Yes	Centrally Ducted		N/A		8600	32600	33200	0.54	2.42	2.44	4.66	3.94698927	3.98		16040	26200	26600	1.82	2.42	3.22	2.58	3.172120211	2.42		16748		20220	2.58		3.08	1.90		1.90		61%	76%																					
Trane	Trane	TruComfort XV20i	10093496	4TWV0036A1	TAM9A0C36V31	HRCU-A-CB	10.00	21.00	13.50	35000	Yes	Centrally Ducted		N/A		8500	33400	32800	0.52	2.38	2.43	4.78	4.111811733	3.96		15820	25800	26100	1.83	2.38	3.22	2.54	3.176189902	2.38		16448		19860	2.58		3.08	1.86		1.90		61%	76%																					
Trane	Trane	TruComfort XV20i	10093497	4TWV0036A1	TAM9A0C42V41	HRCU-A-CB	10.00	21.00	13.50	35600	Yes	Centrally Ducted		N/A		8400	33600	31200	0.51	2.20	2.53	4.82	4.474868817	3.62		15600	24800	25200	1.90	2.20	3.36	2.40	3.302879365	2.20		16242		19440	2.70		3.22	1.76		1.75		62%	77%																					
Trane	Trane	TruComfort XV20i	10093500	4TWV0048A1	TAM9A0C60V51	HRCU-A-CB	10.00	19.50	12.50	46500	Yes	Centrally Ducted		N/A		12000	43000	42700	0.78	2.26	3.56	4.50	5.574728589	3.52		22630	35600	36100	2.65	2.26	4.67	2.50	4.615356692	2.26		23644		28140	3.74		4.46	1.86		1.85		66%	78%																					
Trane	Trane	TruComfort XV18	10093502	4TWV8024A1	TAM9A0B30V31	HRCU-A-CB	10.00	18.00	13.00	23800	Yes	Centrally Ducted		N/A		8000	20000	21000	0.54	2.60	1.55	4.34	2.253825869	3.96		11430	17100	17100	1.21	2.60	1.93	2.76	1.927021118	2.60		11036		12920	1.62		1.86	2.00		2.05		62%	76%																					
Trane	Trane	TruComfort XV18	10093503	4TWV8024A1	TAM9A0C36V31	HRCU-A-CB	10.00	18.00	13.00	24000	Yes	Centrally Ducted		N/A		8000	21000	21400	0.54	2.52	1.52	4.34	2.441644692	4.12		11320	16900	16900	1.23	2.52	1.96	2.70	1.964942633	2.52		10830		12780	1.64		1.90	1.94		1.95		60%	76%																					
Trane	Trane	TruComfort XV18	10093504	4TWV8036A1	TAM9A0B30V31	HRCU-A-CB	10.00	18.00	12.50	34400	Yes	Centrally Ducted		N/A		8400	32000	43900	0.53	2.40	3.45	4.64	3.906631507	3.72		16370	26600	26800	1.84	2.40	3.27	2.60	3.24738744	2.40		17340		20760	2.60		3.12	1.96		1.95		47%	77%																					
Trane	Trane	TruComfort XV18	10093505	4TWV8036A1	TAM9A0C36V31	HRCU-A-CB	10.00	18.00	13.00	35000	Yes	Centrally Ducted		N/A		8300	32200	43400	0.52	2.36	3.36	4.68	3.997675885	3.78		16260	26200	26400	1.85	2.36	3.27	2.58	3.252767335	2.36		17134		20500	2.64		3.14	1.90		1.90		47%	78%																					
Trane	Trane	TruComfort XV18	10093506	4TWV8036A1	TAM9A0C42V41	HRCU-A-CB	10.00	18.00	12.50	35800	Yes	Centrally Ducted		N/A		8400	30000	31200	0.51	2.22	2.54	4.82	3.959423825	3.60		16040	25400	25700	1.91	2.22	3.39	2.46	3.352312172	2.22		16894		20040	2.72		3.24	1.82		1.80		64%	78%																					
Trane	Trane	TruComfort XV18	10093507	4TWV8037A1	TAM9A0B30V31	HRCU-A-CB	10.00	18.00	13.00	35400	Yes	Centrally Ducted		N/A		8600	32600	33200	0.54	2.42	2.44	4.66	3.94698927	3.98		16040	26200	26600	1.82	2.42	3.22	2.58	3.172120211	2.42		16748		20220	2.58		3.08	1.90		1.90		61%	76%																					
Trane	Trane	TruComfort XV18	10093508	4TWV8037A1	TAM9A0C36V31	HRCU-A-CB	10.00	18.00	13.00	35000	Yes	Centrally Ducted		N/A		8500	32800	32200	0.52	2.38	2.30	4.78	4.037946852	4.10		15820	25800	26100	1.83	2.38	3.22	2.54	3.176189902	2.38		16448		19860	2.58		3.08	1.86		1.90		62%	76%																					
Trane	Trane	TruComfort XV18	10093509	4TWV8037A1	TAM9A0C42V41	HRCU-A-CB	10.00	18.00	12.50	35800	Yes	Centrally Ducted		N/A		8400	30800	33300	0.51	2.20	2.68	4.82	4.101963082	3.64		15600	24800	25200	1.90	2.20	3.36	2.40	3.302879365	2.20		16242		19440	2.70		3.22	1.76		1.75		58%	77%																					
Trane	Trane	TruComfort XV18	10093510	4TWV8048A1	TAM9A0C42V41	HRCU-A-CB	10.00	18.00	12.50	46500	Yes	Centrally Ducted		N/A		12300	41500	42600	0.76	2.14	3.80	4.74	5.681958208	3.28		23290	36200	36600	2.81	2.14	5.00	2.42	4.956310533	2.14		24456		28920	4.04		4.80	1.78		1.75		68%	79%																					
Trane	Trane	TruComfort XV18	10093511	4TWV8048A1	TAM9A0C48V41	HRCU-A-CB	10.00	18.00	12.50	47000	Yes	Centrally Ducted		N/A		11900	41000	43000	0.76	2.36	3.46	4.58	5.090208425	3.64		22960	36400	36800	2.59	2.36	4.57	2.60	4.51911187	2.36		24190		28780	3.68		4.38	1.92		1.95		67%	78%																					
Trane	Trane	TruComfort XV18	10093512	4TWV8048A1	TAM9A0C60V51	HRCU-A-CB	10.00	18.00	12.50	47000	Yes	Centrally Ducted		N/A		11900	41500	42600	0.77	2.32	3.54	4.52	5.241116623	3.52		22850	36200	36600	2.62	2.32	4.64	2.56	4.571769199	2.32		24150		28680	3.72		4.42	1.90		1.90		67%	78%																					
Trane	Trane	TruComfort XV18	10093515	4TWV8049A1	TAM9A0C60V51	HRCU-A-CB	10.00	18.00	12.50	47000	Yes	Centrally Ducted		N/A		12000	41000	31700	0.78	2.26	2.50	4.50	5.315438887	3.72		22630	35600	36100	2.65	2.26	4.67	2.50	4.615356692	2.26		23644		28140	3.74		4.46	1.86		1.85		89%	78%																					
Trane	Trane	TruComfort XV18	10093516	4TWV8060A1	TAM9A0C60V51	HRCU-A-CB	10.00	18.00	12.50	54000	Yes	Centrally Ducted		N/A		18400	50500	32300	1.21	2.10	2.55	4.46	7.045888968	3.72		33510	49500	51100	3.94	2.10	7.14	2.50	6.906366414	2.10		34860		40780	5.60		6.76	1.82		1.75		126%	80%																					
Trane	Trane	TruComfort XV20i	10153696	4TWV0036A1	TEM8A0C36V31+TDR	HRCU-A-CB	10.00	20.00	13.00	35400	Yes	Centrally Ducted		N/A		8200	31800	32700	0.51	2.44	2.37	4.72	3.81857219	4.04		15380	25600	25500	1.75	2.44	3.06	2.58	3.074070694	2.44		16182		19500	2.48		2.94	1.92		1.95		60%	76%																					
Trane	Trane	TruComfort XV20i	10153698	4TWV0036A1	TEM8A0C42V41+TDR	HRCU-A-CB	10.00	20.00	13.00	35600	Yes	Centrally Ducted		N/A		8300	31400	32700	0.52	2.32	2.41	4.68	3.965567758	3.98		15490	25200	25400	1.82	2.32	3.20	2.50	3.182557564	2.32		16182		19400	2.58		3.06	1.84		1.85		59%	76%																					
Trane	Trane	TruComfort XV20i	10153699	4TWV0036A1	TEM8A0C48V41+TDR	HRCU-A-CB	10.00	20.00	13.00	35600	Yes	Centrally Ducted		N/A		8200	31000	31100	0.52	2.40	2.52	4.62	3.784549272	3.62		15600	25200	25600	1.78	2.40	3.12	2.56	3.076472312	2.40		16382		19700	2.52		2.98	1.90		1.95		63%	77%																					
Trane	Trane	TruComfort XV20i	10153700	4TWV0036A1	TEM8A0D48V41+TDR	HRCU-A-CB	10.00	19.50	13.00	35800	Yes	Centrally Ducted		N/A		8400	31800	33100	0.51	2.48	2.65	4.82	3.756982316	3.66		15930	25800	26100	1.77	2.48	3.08	2.64	3.048117728	2.48		16688		20000	2.52		2.98	1.94		1.95		60%	77%																					
Trane	Trane	TruComfort XV20i	10153703	4TWV0048A1	TEM8A0C48V41+TDR	HRCU-A-CB	10.00	18.00	12.50	47500	Yes	Centrally Ducted		N/A		11900	42000	33100	0.76	2.36	2.65	4.58	5.21435985	3.66		22410	35600	36000	2.56	2.36	4.48	2.56	4.41979073	2.36		23504		27980	3.62		4.28	1.90		1.90		85%	78%																					
Trane	Trane	TruComfort XV20i	10153704	4TWV0048A1	TEM8A0C60V51+TDR	HRCU-A-CB	10.00	18.00	12.50	47000	Yes	Centrally Ducted		N/A		12200	43500	32100	0.78	2.34	2.35	4.58	5.446745851	4.00		22520	36200	36600	2.61	2.34	4.57	2.52	4.532694248	2.34		23504		28100	3.68		4.38	1.88		1.90		88%	77%																					
Trane	Trane	TruComfort XV18	10153714	4TWV8036A1	TEM8A0C36V31+TDR	HRCU-A-CB	10.00	18.00	12.50	35200	Yes	Centrally Ducted		N/A		8200	31600	42600	0.51	2.40	3.37	4.72	3.857798613	3.70		15930	25600	25800	1.80	2.40	3.16	2.60	3.125305206	2.40		16728		20040	2.56		3.02	1.92		1.95		47%	78%																					
Trane	Trane	TruComfort XV18	10153716	4TWV8036A1	TEM8A0C42V41+TDR	HRCU-A-CB	10.00	18.00	12.50	35400	Yes	Centrally Ducted		N/A		8200	31600	43900	0.51	2.32	3.45	4.72	3.990826152	3.72		15820	25600	25800	1.84	2.32	3.25	2.52	3.233074351	2.32		16688		19940	2.62		3.12	1.86		1.85		45%	77%																					
Trane	Trane	TruComfort XV18	10153717	4TWV8036A1	TEM8A0C48V41+TDR	HRCU-A-CB	10.00	18.00	12.50	36200	Yes	Centrally Ducted		N/A		8000	31000	43600	0.52	2.42	3.38	4.50	3.753272006	3.78		15820	25400	25700	1.78	2.42	3.11	2.60	3.075261579	2.42		16788		20040	2.52		3.00	1.96		1.95		46%	78%																					
Trane	Trane	TruComfort XV18	10153718	4TWV8036A1	TEM8A0D48V41+TDR	HRCU-A-CB	10.00	18.00	12.50	35400	Yes	Centrally Ducted		N/A		8300	31600	43200	0.51	2.46	3.43	4.76	3.763705964	3.70		15930	25800	26100	1.78	2.46	3.11	2.62	3.072899173	2.46		16788		20100	2.52		3.00	1.96		1.95		47%	77%																					
